"calle_id","calle_nombre","calle_altura_inicio_derecha","calle_altura_inicio_izquierda","calle_altura_fin_derecha","calle_altura_fin_izquierda","calle_nomenclatura","calle_categoria","provincia_id","provincia_nombre","departamento_id","departamento_nombre","localidad_censal_id","localidad_censal_nombre"
"0603501003520","SAN MARTIN",0,0,2999,2199,"SAN MARTIN, Avellaneda, Buenos Aires","CALLE","06","Buenos Aires","06035","Avellaneda","06035010","Avellaneda"
"0604201000405","SAN MARTIN",0,0,2398,2399,"SAN MARTIN, Ayacucho, Buenos Aires","CALLE","06","Buenos Aires","06042","Ayacucho","06042010","Ayacucho"
"0604904000185","SAN MARTIN",0,0,600,1099,"SAN MARTIN, Azul, Buenos Aires","CALLE","06","Buenos Aires","06049","Azul","06049040","Chillar"
"0627001003970","SAN MARTIN",0,0,1099,1200,"SAN MARTIN, Ezeiza, Buenos Aires","CALLE","06","Buenos Aires","06270","Ezeiza","06270010","Ezeiza"
"0605601005985","SAN MARTIN",1,0,899,802,"SAN MARTIN, Bahía Blanca, Buenos Aires","CALLE","06","Buenos Aires","06056","Bahía Blanca","06056010","Bahía Blanca"
"0605602000260","SAN MARTIN",0,0,0,400,"SAN MARTIN, Bahía Blanca, Buenos Aires","CALLE","06","Buenos Aires","06056","Bahía Blanca","06056020","Cabildo"
"0605603000365","SAN MARTIN",0,0,399,400,"SAN MARTIN, Bahía Blanca, Buenos Aires","CALLE","06","Buenos Aires","06056","Bahía Blanca","06056030","General Daniel Cerri"
"0607001000880","SAN MARTIN",0,0,3500,3399,"SAN MARTIN, Baradero, Buenos Aires","CALLE","06","Buenos Aires","06070","Baradero","06070010","Baradero"
"0607701001035","SAN MARTIN",0,0,599,500,"SAN MARTIN, Arrecifes, Buenos Aires","CALLE","06","Buenos Aires","06077","Arrecifes","06077010","Arrecifes"
"0608404000086","SAN MARTIN",0,0,0,0,"SAN MARTIN, Benito Juárez, Buenos Aires","CALLE","06","Buenos Aires","06084","Benito Juárez","06084040","Tedín Uriburu"
"0600702000125","SAN MARTIN",0,0,0,0,"SAN MARTIN, Adolfo Alsina, Buenos Aires","CALLE","06","Buenos Aires","06007","Adolfo Alsina","06007020","Colonia San Miguel Arcángel"
"0600704000045","SAN MARTIN",0,0,0,0,"SAN MARTIN, Adolfo Alsina, Buenos Aires","CALLE","06","Buenos Aires","06007","Adolfo Alsina","06007040","Espartillar"
"0600705000060","SAN MARTIN",0,0,0,0,"SAN MARTIN, Adolfo Alsina, Buenos Aires","CALLE","06","Buenos Aires","06007","Adolfo Alsina","06007050","Esteban Agustín Gascón"
"0600707000145","SAN MARTIN",1,2,499,500,"SAN MARTIN, Adolfo Alsina, Buenos Aires","CALLE","06","Buenos Aires","06007","Adolfo Alsina","06007070","Maza"
"0602101000550","SAN MARTIN",0,0,249,250,"SAN MARTIN, Alberti, Buenos Aires","CALLE","06","Buenos Aires","06021","Alberti","06021010","Alberti"
"0602103000085","SAN MARTIN",0,0,0,0,"SAN MARTIN, Alberti, Buenos Aires","CALLE","06","Buenos Aires","06021","Alberti","06021030","Mechita"
"0602105000125","SAN MARTIN",0,0,0,0,"SAN MARTIN, Alberti, Buenos Aires","CALLE","06","Buenos Aires","06021","Alberti","06021050","Achupallas"
"0602104000120","SAN MARTIN",0,0,0,0,"SAN MARTIN, Alberti, Buenos Aires","CALLE","06","Buenos Aires","06021","Alberti","06021040","Pla"
"0602107000110","SAN MARTIN",0,0,0,0,"SAN MARTIN, Alberti, Buenos Aires","CALLE","06","Buenos Aires","06021","Alberti","06021070","Villa Ortiz"
"0610501000080","SAN MARTIN",0,0,0,0,"SAN MARTIN, Bolívar, Buenos Aires","CALLE","06","Buenos Aires","06105","Bolívar","06105010","Hale"
