indice_tiempo,temperatura_maxima_sarc,temperatura_maxima_sane,temperatura_maxima_saar
2018-11-17,29.8,37.2,26.0
2018-11-18,26.0,32.2,24.8
2018-11-19,26.2,30.7,27.8
2018-11-20,30.7,33.7,29.5
2018-11-21,32.5,35.2,33.5
2018-11-22,29.3,37.5,28.6
2018-11-23,23.3,29.4,20.3
2018-11-24,26.8,24.6,25.6
2018-11-25,28.5,28.5,26.7
2018-11-26,30.5,27.2,24.0
2018-11-27,29.8,26.4,19.7
2018-11-28,26.6,28.5,26.1
2018-11-29,29.0,28.0,25.2
2018-11-30,28.6,33.5,28.2
2018-12-01,29.5,26.0,24.5
2018-12-02,23.0,23.5,22.3
2018-12-03,26.4,29.0,27.6
2018-12-04,30.0,32.8,33.6
2018-12-05,32.6,31.0,24.9
2018-12-06,26.1,28.0,23.0
2018-12-07,26.4,28.6,23.2
2018-12-08,28.0,30.2,27.7
2018-12-09,32.5,35.0,29.7
2018-12-10,35.4,37.2,33.4
2018-12-11,38.2,41.0,26.9
2018-12-12,32.2,35.4,29.0
2018-12-13,35.3,39.5,31.4
2018-12-14,35.8,35.0,25.5
2018-12-15,31.1,26.6,26.5
2018-12-16,33.7,28.5,31.4
2018-12-17,35.3,38.5,27.6
2018-12-18,30.9,25.8,24.1
2018-12-19,30.6,28.2,26.8
2018-12-20,34.1,31.6,28.6
2018-12-21,28.5,29.6,28.1
2018-12-22,30.1,32.0,30.2
2018-12-23,30.5,33.4,30.7
2018-12-24,31.5,34.5,30.0
2018-12-25,34.2,37.5,31.0
2018-12-26,35.5,40.2,32.5
2018-12-27,35.8,42.5,28.6
2018-12-28,30.8,32.0,34.2
2018-12-29,34.3,39.0,31.9
2018-12-30,34.3,34.4,29.5
2018-12-31,29.2,31.5,29.3
2019-01-01,33.5,37.5,34.3
2019-01-02,35.5,41.0,36.7
2019-01-03,31.6,35.8,25.3
2019-01-04,24.7,26.5,28.2
2019-01-05,32.8,31.0,30.2
2019-01-06,29.5,34.0,28.9
2019-01-07,27.4,32.2,30.7
2019-01-08,30.5,33.6,30.8
2019-01-09,33.5,35.0,29.3
2019-01-10,30.1,31.0,23.0
2019-01-11,27.5,20.4,25.4
2019-01-12,32.2,27.0,29.5
2019-01-13,32.6,30.6,27.0
2019-01-14,28.0,24.0,29.4
2019-01-15,34.1,29.5,28.7
2019-01-16,32.2,30.5,29.7
2019-01-17,35.7,26.2,25.2
2019-01-18,27.9,26.1,24.4
2019-01-19,22.5,27.2,25.0
2019-01-20,28.1,29.8,26.8
2019-01-21,32.0,33.8,29.7
2019-01-22,36.0,39.0,33.0
2019-01-23,37.5,40.0,28.4
2019-01-24,34.4,37.6,31.9
2019-01-25,35.6,42.5,29.1
2019-01-26,37.2,34.8,28.6
2019-01-27,35.2,33.0,32.0
2019-01-28,34.0,38.2,34.0
2019-01-29,34.3,39.5,35.2
2019-01-30,34.5,36.5,29.9
2019-01-31,36.6,36.0,30.7
2019-02-01,35.7,27.0,31.7
2019-02-02,26.0,30.6,28.6
2019-02-03,27.2,28.4,24.6
2019-02-04,28.5,28.3,27.0
2019-02-05,29.5,28.6,26.7
2019-02-06,31.2,32.0,28.7
2019-02-07,33.6,34.5,31.4
