indice_tiempo,ipc_nucleo_nacional,saldo_base_monetaria
2003-02-01,,29415.210000000003
2003-03-01,,30386.651049999997
2003-04-01,,30891.971
2003-05-01,,33203.68571428571
2003-06-01,,36152.31909999999
2003-07-01,,38015.00936363637
2003-08-01,,38955.2979703
2003-09-01,,39755.24482727273
2003-10-01,,41786.2601325
2003-11-01,,43532.27488304947
2003-12-01,,45349.15506614286
2004-01-01,,46992.63247252827
2004-02-01,,46894.767749845
2004-03-01,,44575.07424375913
2004-04-01,,46210.67852323158
2004-05-01,,47068.97279428701
2004-06-01,,48003.55433758191
2004-07-01,,46522.084214709044
2004-08-01,,46550.12797028572
2004-09-01,,46377.80534972727
2004-10-01,,46483.485019334
2004-11-01,,47096.356863933644
2004-12-01,,50634.75131818182
2005-01-01,,49971.45050936713
2005-02-01,,49389.9710924975
2005-03-01,,49828.60024997142
2005-04-01,,49920.5832187619
2005-05-01,,50984.97938980952
2005-06-01,,51581.23444619047
2005-07-01,,54436.5168645238
2005-08-01,,54184.89571092954
2005-09-01,,53074.812564146356
2005-10-01,,55197.926351616996
2005-11-01,,55887.91267481456
2005-12-01,,55815.14501142906
2006-01-01,,59329.680918033635
2006-02-01,,58403.26964809251
2006-03-01,,58455.11710901546
2006-04-01,,60248.499897837224
2006-05-01,,61181.89933955809
2006-06-01,,62699.32979148859
2006-07-01,,65226.89181634523
2006-08-01,,67226.41564754453
2006-09-01,,69239.61686013809
2006-10-01,,70098.71835190953
2006-11-01,,71741.19166550571
2006-12-01,,76754.93325949053
2007-01-01,,77995.36731376365
2007-02-01,,76940.99432689344
2007-03-01,,78386.53642200002
2007-04-01,,79653.86954233334
2007-05-01,,80991.74313704764
2007-06-01,,83628.3319609
2007-07-01,,87787.3524965238
2007-08-01,,88220.91301431818
2007-09-01,,87983.24677905001
2007-10-01,,88090.95772079045
2007-11-01,,89545.62624690477
2007-12-01,,96239.85512255554
2008-01-01,,97527.55387270093
2008-02-01,,95353.84595230952
2008-03-01,,97890.46189086552
2008-04-01,,97946.64114066095
2008-05-01,,98754.40683655429
2008-06-01,,100589.94092544999
2008-07-01,,100625.07173438364
2008-08-01,,100632.17360479999
2008-09-01,,101755.25326168639
2008-10-01,,102394.52867041818
2008-11-01,,100934.05365780514
2008-12-01,,105957.24706010046
2009-01-01,,104670.3174225757
2009-02-01,,102727.27840492851
2009-03-01,,101454.93677577809
2009-04-01,,99494.01493176316
2009-05-01,,101066.22369219473
2009-06-01,,103686.35248198762
2009-07-01,,105714.02144361904
2009-08-01,,105762.74788654999
2009-09-01,,106275.84036704911
2009-10-01,,107331.04961015952
2009-11-01,,109612.79712207601
2009-12-01,,118864.99414191382
2010-01-01,,121585.07476890952
2010-02-01,,119394.4818107655
2010-03-01,,120282.22098855184
2010-04-01,,120275.654199376
2010-05-01,,123656.78586116842
2010-06-01,,126897.24958280285
2010-07-01,,133899.25297696475
